#name,AF1,AF2,AF3,AF4,AF5,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,PP1,PP2,PP3,F1,F2,F3,F4,F5,F6,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,MSWHIM1,MSWHIM2,MSWHIM3,E1,E2,E3,E4,E5,PD1,PD2,PRIN1,PRIN2,PRIN3,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,SV1,SV2,SV3,SV4,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,SVGER1,SVGER2,SVGER3,SVGER4,SVGER5,SVGER6,SVGER7,SVGER8,SVGER9,SVGER10,SVGER11,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,VSTPV1,VSTPV2,VSTPV3,VSTPV4,VSTPV5,VSTPV6,Z1,Z2,Z3,Z4,Z5
pote.txt_11703,0.512293409,0.124672759,0.1203461,-0.253548222,0.3514859,0.47972973,0.606756757,-0.294324324,0.371621622,0.047297297,-0.041621622,0.153783784,0.052432432,0.082162162,-0.078378378,0.341081081,-0.131081081,0.085945946,-0.441945946,-0.142243243,0.130972973,-0.180756757,-0.116810811,0.046972973,0.268918919,0.349189189,-0.157297297,0.365405405,0.098108108,-0.083243243,-0.230810811,0.450540541,0.269459459,0.489459459,0.222432432,0.268108108,-0.292162162,0.078972973,-0.068189189,0.059756757,0.007513514,0.007243243,0.470540541,0.527837838,-2.690448649,2.20387027,-0.143127027,-1.571621622,1.435405405,0.637567568,-0.228648649,0.07972973,0.113243243,-0.088648649,-0.427567568,0.211324324,-0.078,0.109324324,0.014648649,-0.495054054,0.167432432,0.079243243,-0.313297297,0.076945946,-0.125,0.233,0.388081081,1.583527027,0.198102703,-0.018627027,0.947956757,-0.040808108,-0.064186486,2.257162162,-0.389227027,0.088459459,2.294510811,-0.006854054,-2.446756757,0.245405405,-0.085945946,-0.69027027,0.365675676,-0.381621622,0.345405405,0.176756757,0.531891892,0.012162162,0.495945946,0.452162162,0.117297297,-0.498918919,-0.04027027,-0.034054054,-0.317297297,0.745405405,-0.212162162,1.222702703,0.967567568,-0.082432432,0.472702703,-0.015405405
pote.txt_4689,0.605708847,0.249435807,0.855194327,-0.521699364,1.09402456,0.412727273,0.678181818,0.333636364,-0.548181818,0.252727273,0.469090909,0.143636364,-0.007272727,-0.246363636,-0.154545455,0.223636364,0.023636364,0.328181818,-0.494909091,-0.386636364,0.289,-0.098545455,-0.583090909,-0.001272727,0.430909091,0.501818182,-0.343636364,0.308181818,0.294545455,-0.386363636,0.510909091,0.514545455,-0.903636364,-0.176363636,0.056363636,0.281818182,-0.166363636,0.093636364,-0.064909091,0.107,-0.070818182,0.080454545,0.643636364,0.543636364,-2.140418182,2.914972727,1.618709091,-1.739090909,1.620909091,1.795454545,0.162727273,-0.574545455,1.207272727,0.375454545,0.104545455,0.207181818,-0.005363636,0.114272727,-0.094181818,-0.447363636,0.086090909,0.027090909,-0.275545455,-0.062727273,-0.260727273,0.471090909,0.682636364,1.734436364,0.245127273,0.200809091,0.029690909,0.931854545,-0.049654545,1.240181818,0.508390909,-0.596536364,1.601536364,-0.374509091,-2.148181818,0.022727273,-0.444545455,-0.289090909,0.536363636,-0.232727273,0.538181818,0.197272727,1.035454545,0.604545455,0.148181818,0.815454545,-0.573636364,-0.479090909,0.159090909,0.17,-0.018181818,0.829090909,-0.456363636,0.570909091,0.954545455,-0.49,1.121818182,-0.097272727
pote.txt_8139,-0.108802056,-0.206164012,0.360497832,0.172861048,0.724873288,-0.0648,0.0728,-0.1788,0.1152,0.0556,0.0952,0.4248,0.1396,0.0552,0.0332,-0.29,-0.0884,0.238,0.15568,0.11204,0.11384,0.28424,-0.01188,0.23376,-0.2008,-0.0108,0.1208,-0.0648,-0.0468,-0.2388,0.0312,0.2964,0.212,0.1372,-0.1788,0.4632,-0.244,-0.03832,-0.00028,-0.04168,-0.07324,0.02848,0.0848,-0.1564,1.355224,0.045216,1.162016,0.792,-0.328,0.424,0.7228,-0.198,0.4876,-0.1728,-0.3276,0.22304,0.09204,0.09628,-0.11432,-0.69196,-0.13672,-0.02116,-0.17244,-0.32852,-0.24648,0.412,0.45744,-0.059476,-0.016144,0.451864,0.107288,0.918208,-0.2262,-0.687628,0.859092,-0.555068,-0.32784,0.350576,-3.674,-0.2424,-0.3492,0.0568,0.5032,0.1576,-0.0192,-0.0084,0.0772,0.4528,-0.2196,0.546,0.0176,-0.7008,0.0468,0.3712,-0.0968,0.418,-0.3968,-0.2676,-0.1396,-0.6732,0.8836,0.2048
pote.txt_803,0.406317901,-0.384945094,-0.081260589,0.382255756,0.614783592,0.052777778,-0.157777778,-0.503888889,-0.312777778,0.355,0.240555556,0.265555556,0.095,0.109444444,-0.426111111,-0.081666667,-0.011111111,0.41,-0.214166667,0.400666667,0.298388889,0.789777778,-0.021944444,0.476777778,-0.304444444,0.264444444,-0.113333333,0.348333333,0.306111111,-1.33,0.742222222,-0.082777778,-0.091111111,0.534444444,-0.422222222,0.359444444,0.085,0.027333333,-0.099444444,-0.085722222,-0.227222222,0.038055556,0.395555556,0.035,-0.939033333,2.127355556,2.125772222,-0.521666667,1.289444444,0.126666667,1.405,-0.872222222,0.905,0.068888889,0.373333333,0.237444444,0.028722222,0.048055556,-0.188833333,-0.675944444,0.001333333,0.150444444,-0.042722222,-0.433777778,0.313277778,0.163611111,0.474611111,1.424816667,-1.195888889,-0.23365,-0.613372222,1.166172222,0.508294444,0.171344444,0.292866667,-1.329777778,2.135733333,0.044383333,-3.577222222,0.931666667,-0.822777778,0.467222222,0.270555556,-0.080555556,0.300555556,0.278888889,0.243888889,0.782222222,-0.11,0.697222222,-0.210555556,-0.662777778,0.688888889,0.288888889,0.096666667,0.236111111,-0.293888889,-0.218333333,-0.046666667,-1.376666667,0.391666667,0.316666667
pote.txt_9839,-0.353456975,-0.038288366,-0.2632621,0.896007706,0.267092552,-0.085294118,-0.478235294,0.056470588,-0.024705882,-0.047647059,0.520588235,0.411176471,0.190588235,0.021764706,0.021764706,-0.555882353,-0.414117647,0.214705882,0.088705882,-0.067941176,-0.307411765,1.165941176,-0.171823529,-0.199,-0.157647059,-0.68,-0.038235294,-0.189411765,-0.070588235,-0.960588235,0.476470588,0.351176471,-0.270588235,0.214117647,-0.587647059,0.321764706,-0.372352941,-0.007882353,0.141823529,-0.154823529,-0.139235294,0.065,-1.217647059,-0.469411765,0.800176471,-3.721835294,1.446764706,-0.118235294,-2.810588235,-5.22E-17,0.622941176,-0.649411765,1.074117647,0.207058824,-0.111764706,0.234823529,0.165764706,-0.052764706,-0.125823529,-1.162764706,-0.313529412,-0.202823529,0.134352941,-0.425294118,-0.648941176,0.058941176,0.707647059,-2.675729412,-0.994964706,0.277411765,-0.101576471,0.9772,0.010629412,-4.500776471,0.510152941,-1.1326,-3.292229412,0.974829412,-6.465882353,-0.19,-0.181176471,0.897647059,1.175294118,0.254705882,-0.500588235,-0.666470588,0.085294118,0.114705882,-0.82,0.712352941,-0.588823529,-1.11,0.33,0.76,-0.447647059,0.157058824,-0.632941176,-0.54,-1.730588235,-0.638235294,-0.494705882,0.495294118
pote.txt_133,-0.099181186,-0.349747367,-0.186502528,0.760261703,0.194516828,0.133103448,-0.515517241,0.054827586,-0.153448276,0.127241379,0.305517241,0.292758621,-0.137586207,0.47137931,0.04137931,-0.349655172,-0.43,0.352413793,-0.368689655,0.228241379,-0.372137931,0.819655172,-0.148206897,0.128310345,-0.493448276,-0.64,0.035862069,0.183448276,0.013103448,-0.748965517,-0.009655172,-0.008965517,-0.320689655,-0.015862069,-0.604137931,0.363103448,-0.383448276,0.02562069,0.053482759,-0.180758621,-0.128172414,-0.004,-1.163103448,-0.266896552,-1.228234483,-2.734617241,1.266565517,-0.704482759,-1.71862069,-0.682758621,1.363793103,-0.312413793,0.707586207,0.044827586,0.483793103,0.232517241,0.158275862,-0.063241379,-0.082310345,-1.091931034,-0.453172414,-0.340931034,0.080827586,-0.274034483,-0.823,0.223758621,0.564448276,-2.020851724,-0.609351724,-0.096175862,-0.081610345,1.214472414,0.045882759,-3.698741379,0.428968966,-0.852972414,-2.135572414,1.011393103,-6.08862069,-0.391724138,0.015172414,0.643793103,1.129655172,-0.065862069,-0.457931034,-0.518965517,-0.367586207,0.337931034,-0.478275862,0.443448276,-0.266896552,-1.063448276,0.141034483,0.710344828,-0.56862069,0.03862069,-0.544827586,0.222068966,-1.316896552,-0.56862069,-0.080344828,0.495862069
pote.txt_4497,-0.123320204,0.264909723,0.24925413,0.09034384,0.714975286,0.002,-0.506,0.258,0.158,0.724,-0.031,0.051,0.197,-0.131,-0.087,-0.151,-0.248,0.378,-0.4732,-0.0677,-0.4966,-0.3679,-0.4782,0.8444,0.158,-0.276,0.759,0.214,-0.271,0.517,0.664,0.078,0.189,0.579,-0.51,0.29,-0.078,0.0114,0.0333,0.0099,0.0598,-0.2424,-0.595,0.256,-0.54069,-0.12081,-1.84323,0.279,-0.613,0.736,0.463,1.296,0.433,0.37,-0.199,0.2229,0.0422,-0.0864,0.016,-0.9448,-0.1357,-0.0812,0.3285,-0.2414,-0.4052,0.494,0.1424,-1.32216,0.0864,-1.51705,-0.57012,0.11538,-0.61728,-2.85905,-0.61558,-0.33673,-0.79257,1.08083,-5.115,0.511,-0.34,0.476,0.775,-0.324,-0.478,-0.154,0.186,0.41,0.408,0.166,-0.098,-0.889,0.437,0.603,-0.234,0.312,0.038,1.177,-0.684,0.008,0.234,-0.679
pote.txt_11441,0.400428627,-0.167803509,1.33304802,0.13494445,0.163482328,0.178,0.036,-0.48,-0.087,-0.268,-0.23,-0.191,-0.138,0.367,0.013,0.169,-0.22,-0.239,-0.5023,0.1613,0.2372,0.1987,0.2972,-0.124,-0.108,0.245,0.043,0.28,-0.165,-0.28,-0.071,0.024,-0.125,0.008,-0.077,0.343,-0.216,0.0238,-0.0653,-0.0022,-0.0784,0.0404,0.432,0.176,-1.20057,1.11564,1.15541,-0.821,1.007,-0.72,-0.183,-1.021,-0.006,0.696,-0.241,0.23,-0.0213,0.0232,-0.0215,-0.5803,-0.3025,-0.0295,-0.2014,-0.0008,0.1096,-0.1433,-0.0708,0.19023,-0.34914,0.20507,0.44392,-0.36319,1.0363,0.94477,-0.17579,0.29386,0.20852,-0.70618,-2.872,0.148,0.069,-0.222,0.131,-0.158,0.336,0.242,-0.138,-0.333,-0.37,0.106,0.294,-0.561,0.059,0.031,-0.295,0.034,-0.108,-0.085,0.027,-0.449,-1,-0.154
pote.txt_359,0.090611571,0.175601839,-0.126693843,-0.02039507,0.176818115,0.195945946,-0.193513514,0.057837838,0.097297297,0.481081081,0.071621622,-0.096756757,-0.233783784,0.03972973,-0.091081081,0.158378378,-0.278108108,0.247297297,-0.299837838,-0.026513514,-0.302567568,-0.218324324,-0.228486486,0.388189189,0.101621622,-0.112432432,0.287837838,0.284594595,-0.065135135,0.226486486,0.191081081,-0.221891892,-0.050810811,0.208648649,-0.323243243,0.436216216,-0.304864865,0.046945946,0.000567568,0.006216216,0.029432432,-0.135324324,-0.328918919,0.344864865,-1.836418919,0.163654054,-1.244656757,-0.745945946,0.106486486,0.158648649,0.377297297,0.729189189,0.015675676,0.106216216,0.091351351,0.226216216,-0.018567568,-0.050162162,0.110081081,-0.813621622,-0.159864865,-0.183810811,0.035756757,0.075513514,-0.255081081,0.296027027,0.011756757,0.578427027,-0.306127027,-0.944751351,-0.305708108,0.004737838,-0.278783784,0.121221622,-0.874367568,-0.174359459,1.366802703,0.4406,-4.359189189,0.277297297,-0.070540541,0.075135135,0.606486486,-0.327567568,-0.218918919,-0.065135135,0.042702703,0.159189189,0.396216216,-0.092162162,-0.065135135,-0.778648649,0.168108108,0.404594595,-0.253783784,0.440810811,0.025945946,1.024864865,-0.209189189,0.091081081,-0.108918919,-0.34
pote.txt_4837,0.525888929,-0.47585963,0.274958913,-0.318887988,0.601948475,0.04375,0.28125,-0.12,-0.82,0.395,0.15375,0.05375,-0.03875,0.20375,-0.1825,0.07,0.15125,0.40375,-0.623125,0.438,0.53725,0.128125,-0.30775,0.53825,-0.3825,0.6375,-0.16125,0.37375,0.42625,-0.86625,0.29625,-0.1425,-0.84625,0.17125,-0.22125,0.40875,0.0325,0.01425,-0.18225,-0.0075,-0.171125,0.046,1.08625,0.2825,-0.4373875,4.0843375,2.4206,-0.045,2.6575,0.49,1.2825,-0.92625,1.1075,0.2025,0.65625,0.2215,0.031625,0.114625,-0.20725,-0.374375,-0.07825,0.0945,-0.25575,-0.28125,0.1545,0.547875,0.439,2.8441375,-0.0748625,0.0135375,-0.631175,1.336675,0.3764,1.9445625,1.0260875,-0.9467375,2.8691875,-0.71075,-1.735,0.18125,-0.74875,-0.0175,0.1025,-0.09625,0.61125,0.6075,0.23375,1.0375,0.01375,0.5775,-0.21125,-0.42,0.32375,0.20875,0.30125,0.35875,-0.27625,-0.23875,0.81,-1.215,1.48125,-0.0825
