#name,aliphatic_index,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_K,freq_L,freq_M,freq_N,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y,freq_S_p,freq_T_p,freq_Y_p,freq_C_m,freq_R_m,freq_R_d,freq_R_s,freq_K_a,aromaticity,average_number_rotatable_bonds,charge,charge_density,energy_based_on_logP,hydrophobic_aa_ratio,instability_index,isoelectric_point,length,n_C,n_H,n_N,n_O,n_S,n_P,molecular_weight,n_h_donors,n_h_acceptors,topological_polar_surface_area
potr.txt_11431,136.5,0.05,0.1,0,0,0.15,0,0,0,0.1,0.3,0,0,0.1,0,0,0.15,0,0.05,0,0,0,0,0,0,0,0,0,0,0.15,2.6,1.738301632,0.000780636,2.205,0.65,56.805,8.903701782,20,108,172,22,24,2,0,2226.775,47,67,1352.9
potr.txt_4109,11.11111111,0.111111111,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.111111111,3.444444444,3.931432988,0.003411784,3.255555556,0.111111111,81.77777778,11.09729004,9,56,81,21,11,0,0,1152.31,27,34,828.8
potr.txt_2515,82.10526316,0.052631579,0,0.052631579,0.052631579,0.105263158,0,0,0.052631579,0.315789474,0.105263158,0,0.052631579,0,0,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.157894737,3.578947368,4.758028831,0.00200013,2.594736842,0.368421053,7.342105263,10.29524231,19,108,185,29,26,0,0,2378.86,51,70,1577.6
potr.txt_545,154.5833333,0.083333333,0.041666667,0,0,0,0.125,0,0.083333333,0.166666667,0.291666667,0,0.041666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208333333,7.74616462,0.002864266,2.675,0.5,24.3625,12.01699066,24,121,227,41,26,1,0,2704.415,62,82,1925.7
potr.txt_3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,4,2.760071614,0.002640749,2.65,0,199.2666667,12.30105591,6,36,71,15,7,0,0,1045.185,21,21,621.3
potr.txt_379,110,0.166666667,0.083333333,0,0,0.125,0.083333333,0,0.125,0.125,0.083333333,0,0,0.083333333,0.041666667,0,0.041666667,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0.125,2.458333333,2.737302631,0.001084894,2.4375,0.625,16.36666667,9.390174866,24,120,192,28,27,2,0,2523.105,55,79,1634.2
potr.txt_9965,81.66666667,0.25,0.166666667,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0,0.083333333,0.25,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,3,3.739270633,0.002720112,3.041666667,0.583333333,109.5666667,10.78689575,12,55,103,23,14,2,0,1374.675,34,43,1024.4
potr.txt_3617,178.3333333,0,0,0,0,0,0,0,0.333333333,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,3.166666667,0.759102613,0.0011003,2.283333333,0.666666667,-5.816666667,8.75,6,31,59,7,8,1,0,689.905,14,21,451.4
potr.txt_7189,144.2105263,0.263157895,0,0,0,0.105263158,0,0.052631579,0.105263158,0,0.157894737,0,0.052631579,0.052631579,0,0,0.157894737,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.105263158,2.157894737,-0.152724198,-7.86E-05,2.452631579,0.684210526,12.63684211,6.741088867,19,95,144,22,24,0,0,1942.23,43,62,1321
potr.txt_8417,19.6,0.04,0.16,0.04,0,0,0.2,0,0,0.16,0.04,0.04,0,0,0,0.08,0.16,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0.04,2.68,4.71660341,0.00182529,2.928,0.28,59.528,9.437759399,25,101,175,35,34,5,0,2584.03,69,94,2004.7
potr.txt_10775,90.96774194,0,0.193548387,0,0.032258065,0.032258065,0.096774194,0,0.129032258,0.064516129,0.032258065,0,0.032258065,0.064516129,0,0,0.129032258,0.064516129,0.096774194,0,0.032258065,0,0,0,0,0,0,0,0,0.064516129,2.35483871,0.700509133,0.000217152,2.577419355,0.483870968,17.44193548,7.769042969,31,138,226,34,42,6,0,3225.89,79,111,2214.8
potr.txt_151,91.21212121,0,0.181818182,0,0.03030303,0.060606061,0.090909091,0,0.03030303,0,0.090909091,0,0.03030303,0,0,0.151515152,0.060606061,0.090909091,0.151515152,0,0.03030303,0,0,0,0,0,0,0,0,0.090909091,2.666666667,3.702457135,0.000996495,2.745454545,0.515151515,62.04242424,8.982475281,33,157,261,49,43,6,0,3715.48,90,119,2620.6
potr.txt_10261,93.47826087,0.086956522,0,0,0.217391304,0.086956522,0.043478261,0,0.043478261,0,0.173913043,0,0,0.043478261,0.043478261,0.086956522,0.130434783,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0.086956522,2.913043478,-3.225866076,-0.001229904,2.808695652,0.391304348,79.7826087,4.325119019,23,116,184,30,39,0,0,2622.86,60,86,1883.7
potr.txt_9601,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,3.666666667,1.750180624,0.001873725,2.7,0.166666667,186.7,10.35217285,6,32,61,13,8,1,0,934.065,20,22,584.5
potr.txt_427,0,0,0,0,0,0,0.657894737,0.210526316,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.078947368,0,0,0,0,0,0,0,0,0.078947368,1.684210526,0.454498117,0.000139451,3.139473684,0,27.97894737,7.280273438,38,157,172,56,44,0,0,3259.205,89,127,2781.3
potr.txt_3877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0.714285714,3.571428571,1.760081614,0.001395329,1.985714286,0,172.2285714,12.00006104,7,42,81,13,8,0,0,1261.41,23,23,651.5
potr.txt_1953,122,0.1,0,0,0,0.1,0.15,0,0.15,0.1,0.1,0.05,0.05,0.05,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1,2.5,1.758103612,0.000851999,2.45,0.55,4.3,10.00268555,20,97,159,23,24,1,0,2063.505,45,66,1412.6
potr.txt_11631,97.75,0.175,0,0.025,0.025,0,0.125,0,0.1,0.125,0.05,0,0.05,0,0.1,0.05,0,0.075,0.075,0.025,0,0,0,0,0,0,0,0,0,0.025,2.725,4.759017832,0.001131799,2.815,0.4,14.74,10.56504822,40,179,317,57,54,0,0,4204.825,101,140,3199.7
potr.txt_10197,133.1818182,0.090909091,0,0,0,0.090909091,0,0,0.136363636,0.227272727,0.181818182,0,0,0.090909091,0,0.045454545,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,3.045454545,5.755096609,0.002302854,2.436363636,0.5,17.40909091,11.38845825,22,121,208,30,26,0,0,2499.115,54,75,1620.2
potr.txt_3569,48.33333333,0,0,0.666666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,3.166666667,-3.236414343,-0.004586333,2.75,0.166666667,-30.86666667,3.769645691,6,27,43,7,15,0,0,705.665,17,27,556.6
