#name,AF1,AF2,AF3,AF4,AF5,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,PP1,PP2,PP3,F1,F2,F3,F4,F5,F6,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,MSWHIM1,MSWHIM2,MSWHIM3,E1,E2,E3,E4,E5,PD1,PD2,PRIN1,PRIN2,PRIN3,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,SV1,SV2,SV3,SV4,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,SVGER1,SVGER2,SVGER3,SVGER4,SVGER5,SVGER6,SVGER7,SVGER8,SVGER9,SVGER10,SVGER11,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,VSTPV1,VSTPV2,VSTPV3,VSTPV4,VSTPV5,VSTPV6,Z1,Z2,Z3,Z4,Z5
potr.txt_11431,-0.519444786,-0.055360708,-1.141253725,0.4737527,-0.679192991,-0.4985,-0.4645,-0.1385,0.002,0.0795,-0.053,0.097,-0.0455,0.07,-0.297,-0.51,-0.1785,0.047,0.33685,0.1791,0.03065,0.58775,0.44745,0.02225,-0.153,-0.174,-0.1415,-0.525,-0.014,-0.8465,0.3385,-0.5435,0.3725,0.329,-0.4745,0.5915,-0.336,-0.0845,0.06325,-0.06075,-0.10195,0.056,-0.2645,-0.6245,3.47781,-1.41848,0.86815,1.8845,-1.1265,-0.136,0.6155,-0.5695,-0.2125,-0.173,0.1655,0.2408,0.106,0.012,-0.014,-0.86925,-0.29725,0.02465,0.04175,-0.4364,-0.01705,0.0343,-0.0293,0.38376,-0.407515,0.17544,-0.783795,0.632745,0.06101,-0.174215,0.912225,-0.66187,0.513185,0.33452,-4.6105,-0.489,-0.349,0.411,0.362,0.504,-0.232,-0.0105,-0.403,0.2305,-0.391,-0.2825,0.125,-0.8315,0.1165,0.443,0.03,-0.1065,-0.355,-1.529,-0.5585,0.1475,-0.156,0.2895
potr.txt_4109,0.743890627,-0.098340526,0.490924756,-0.093778989,1.373838078,0.614444444,0.487777778,-0.36,0.113333333,0.496666667,-0.008888889,0.574444444,0.114444444,0.18,-0.048888889,0.29,-0.011111111,0.591111111,-0.604555556,0.062888889,0.071333333,-0.074111111,-0.258555556,0.739,0.024444444,0.341111111,0.146666667,0.745555556,0.23,-0.207777778,0.138888889,0.367777778,0.028888889,0.758888889,0.016666667,0.291111111,0.012222222,0.106555556,-0.123888889,0.014888889,-0.080333333,-0.069777778,0.458888889,0.686666667,-4.064366667,3.242166667,0.821588889,-1.986666667,1.934444444,1.191111111,1.182222222,0.271111111,0.806666667,-0.266666667,-0.226666667,0.208888889,-0.010666667,0.121555556,-0.091444444,-0.518222222,0.270444444,0.112777778,-0.227777778,-0.164111111,-0.303555556,0.592,0.746333333,1.673222222,-0.127477778,-0.696355556,0.7471,0.813655556,-0.380444444,0.995566667,-0.261144444,-0.596033333,2.675044444,0.6379,-2.708888889,0.725555556,-0.566666667,-0.384444444,0.466666667,-0.62,0.306666667,0.201111111,0.734444444,0.824444444,0.555555556,1.014444444,0.097777778,-0.538888889,0.293333333,0.12,-0.197777778,0.816666667,-0.265555556,1.812222222,0.748888889,-1.118888889,1.537777778,-0.01
potr.txt_2515,0.412548335,-0.400914436,0.071614347,0.102599037,0.274496213,0.162105263,-0.038947368,-0.405789474,-0.237894737,0.177368421,0.222631579,-0.028947368,0.039473684,0.101052632,-0.36,0.064736842,-0.042631579,0.182631579,-0.398157895,0.401947368,0.302631579,0.391368421,-0.077947368,0.321315789,-0.314210526,0.343684211,-0.116842105,0.379473684,0.131052632,-0.814736842,0.265263158,0.043684211,0.016842105,0.101052632,-0.273157895,0.321578947,-0.051578947,0.026315789,-0.121631579,-0.059526316,-0.140789474,0.030631579,0.571052632,0.148947368,-1.136621053,2.412205263,1.244336842,-0.526315789,1.688421053,-0.396315789,0.788421053,-0.593684211,0.516315789,0.141052632,0.274736842,0.235526316,-0.027,0.043210526,-0.146,-0.587210526,-0.104,0.012368421,-0.139,-0.196947368,0.383526316,0.227578947,0.274578947,1.599884211,-0.875505263,-0.006357895,-0.461152632,0.769221053,0.496373684,1.193842105,0.084147368,-0.788757895,2.246863158,-0.314836842,-2.964736842,0.719473684,-0.479473684,0.138947368,0.201052632,-0.16,0.374210526,0.363157895,0.047368421,0.416315789,0.08,0.450526316,-0.085789474,-0.576842105,0.421578947,0.187894737,-0.01,0.313157895,-0.158421053,0.115263158,0.426842105,-0.913157895,0.217894737,0.255789474
potr.txt_545,0.047199762,-0.284131336,0.201380771,0.641115946,0.833707845,-0.04375,-0.4125,-0.273333333,-0.174166667,0.34125,0.327916667,0.340416667,0.20875,-0.09375,-0.169166667,-0.28625,-0.105416667,0.3425,0.032125,0.284791667,0.037916667,0.783333333,-0.086708333,0.444416667,-0.279166667,-0.089166667,0.173333333,0.1575,-0.319166667,-0.751666667,0.76375,0.053333333,0.0475,0.369166667,-0.534583333,0.338333333,0.015,-0.00525,-0.01525,-0.108916667,-0.165875,-0.003541667,-0.104583333,-0.140416667,0.086883333,0.160366667,1.319345833,0.2,-0.214166667,0.025416667,1.034166667,-0.334583333,0.95625,0.128333333,-0.050416667,0.237333333,0.075333333,-0.012541667,-0.176958333,-0.850166667,-0.119291667,-0.067458333,0.066125,-0.421833333,-0.015166667,0.283583333,0.507583333,-0.705791667,-1.458766667,0.071066667,-0.564308333,0.797416667,-0.038816667,-2.131675,0.050816667,-1.169879167,-0.622783333,0.815258333,-4.609166667,0.80125,-0.558333333,0.7475,0.6175,0.01625,0.01375,-0.0225,0.19,0.533333333,-0.315,0.742916667,-0.280416667,-0.81625,0.634166667,0.5175,-0.16,0.19875,-0.220833333,-0.165833333,-0.66125,-1.280833333,0.145416667,0.3075
potr.txt_3529,0.471104675,-0.022825685,1.087018,-0.84360295,1.356931605,-0.285,1.235,0.155,-1.11,0.7,0.22,0.06,-0.11,-0.285,-0.01,0.43,0.815,0.26,-0.1925,0.1515,1.2925,-0.844,-0.431,1.174,0.26,1.685,0.325,0.15,-1.43,0.515,0.22,-0.395,-1.035,0.165,0.39,0.625,0.265,-0.0625,-0.2735,0.248,-0.0875,-0.0335,3.345,0.565,1.74615,9.0495,1.0161,2.27,5.575,1.99,-0.17,0.295,0.9,0.115,0.455,0.197,-0.0935,0.286,-0.0585,0.397,0.385,0.1235,-0.6295,-0.0465,0.049,1.133,0.5245,8.29,-0.50965,0.4194,0.01195,0.20835,-0.97375,9.2001,0.0024,-0.78505,9.1463,0.80625,2.98,0.61,-0.615,-1.175,-0.3,0.015,1.755,1.515,1.01,1.15,0.67,0.145,-0.01,0.28,0.1,-0.375,0.215,0.815,0.175,-0.42,3.22,-1.455,2.715,-0.88
potr.txt_379,-0.389813348,-0.122460588,-0.120985921,0.428012471,0.053876055,-0.259166667,-0.4375,0.042083333,-0.007083333,0.00875,0.012916667,0.219166667,0.10875,0.246666667,-0.153333333,-0.5625,-0.278333333,0.114583333,0.226791667,0.05625,-0.154666667,0.486416667,0.162375,-0.004333333,-0.22,-0.402916667,-0.014583333,-0.315833333,0.032083333,-0.47375,0.34375,-0.012916667,0.265416667,-0.177916667,-0.445,0.4725,-0.32875,-0.051125,0.080541667,-0.080666667,-0.073458333,0.040958333,-0.6925,-0.515,2.094845833,-2.211320833,1.094770833,0.95375,-1.736666667,-0.007083333,0.698333333,-0.404583333,0.21125,-0.04125,0.22875,0.228791667,0.135541667,-0.003833333,-0.07775,-0.969166667,-0.365541667,-0.042375,0.106875,-0.4725,-0.414083333,0.113791667,0.281083333,-1.5003125,0.159016667,-0.111083333,-0.348975,0.973825,0.2148,-2.716729167,1.041666667,-0.588679167,-1.634625,0.4399375,-5.279166667,-0.570416667,-0.274583333,0.483333333,0.69875,0.32125,-0.382916667,-0.293333333,-0.278333333,0.25,-0.487916667,0.056666667,-0.00125,-0.94,0.107916667,0.56125,-0.166666667,0.034583333,-0.536666667,-0.877083333,-0.94625,0.002916667,-0.07875,0.249166667
potr.txt_9965,0.046615781,-0.428788645,-0.328101633,0.476674642,0.447166415,0.066666667,-0.52,-0.0875,-0.1575,0.7475,-0.034166667,0.1975,0.1375,0.295833333,-0.03,-0.175,-0.160833333,0.376666667,-0.28925,0.522083333,-0.278666667,0.152083333,-0.12225,0.820583333,-0.530833333,-0.219166667,0.311666667,0.333333333,-0.56,-0.0025,0.59,-0.356666667,0.255,0.283333333,-0.51,0.376666667,0.013333333,0.010333333,-0.0585,-0.124166667,-0.043416667,-0.127416667,-0.341666667,0.065833333,-1.305566667,0.327566667,-0.514241667,0.2025,0.129166667,-0.324166667,1.193333333,0.700833333,0.6275,-0.271666667,0.335833333,0.228416667,0.041666667,-0.068416667,-0.079833333,-0.875833333,-0.148416667,-0.152916667,0.184583333,-0.307416667,-0.407666667,0.528583333,0.419333333,-0.7557,-0.755025,-1.074225,-0.2738,0.362416667,-0.454583333,-2.225458333,-0.5239,-0.7026,-0.046025,1.298241667,-4.765,0.705,-0.3225,0.51,0.765,-0.300833333,-0.195833333,-0.015,-0.093333333,0.573333333,0.2,0.2525,-0.021666667,-0.84,0.488333333,0.555833333,-0.3925,0.168333333,-0.0075,0.844166667,-0.445833333,-0.68,0.374166667,-0.01
potr.txt_3617,-0.479146995,-0.342921445,0.28532025,0.236110133,0.09705337,-0.505,-0.761666667,-0.583333333,-0.04,-0.09,0.288333333,0.005,-0.006666667,0.008333333,0.068333333,-0.448333333,-0.203333333,0.165,0.12,0.448,0.188333333,0.416,-0.124666667,0.452666667,-0.521666667,-0.185,0.855,-0.091666667,0.458333333,-0.213333333,-0.535,-0.006666667,-0.31,-0.378333333,-0.805,0.69,-0.3,-0.1295,0.006,-0.096166667,-0.109666667,-0.109833333,-0.025,-0.62,3.784533333,-0.974616667,0.741833333,2.291666667,-0.62,-1.376666667,1.303333333,-0.121666667,-0.065,0.513333333,-0.033333333,0.253,0.066333333,-0.049666667,-0.109,-0.873833333,-0.4135,-0.164166667,0.075333333,-0.239,0.424833333,0.106833333,-0.297333333,0.839133333,-1.393566667,-0.141683333,-1.69865,0.544083333,0.338716667,-0.3628,0.186866667,-0.937816667,0.910783333,-0.170583333,-4.746666667,0.195,-0.561666667,0.963333333,0.106666667,0.411666667,-0.315,0.081666667,-0.853333333,0.395,-0.596666667,-0.071666667,-0.121666667,-0.84,0.418333333,0.706666667,0.481666667,-2.78E-17,0.136666667,-1.423333333,-1.083333333,-0.971666667,-0.081666667,0.083333333
potr.txt_7189,-0.581852436,-0.280790294,-0.892624658,0.719633979,-0.565645796,-0.288947368,-0.468947368,-0.103684211,0.221052632,-0.093684211,0.153157895,0.255263158,-0.135789474,0.326315789,0.010526316,-0.535263158,-0.358947368,0.063157895,0.298631579,0.243947368,-0.151052632,0.784368421,0.249473684,-0.174157895,-0.437894737,-0.554736842,-0.091578947,-0.413157895,-0.231578947,-0.672631579,-0.358947368,-0.181578947,0.354736842,-0.235263158,-0.474736842,0.565263158,-0.546315789,-0.071105263,0.095631579,-0.151,-0.085684211,0.060315789,-0.858421053,-0.724210526,2.420252632,-3.317252632,0.723242105,1.382105263,-2.121052632,-0.973157895,0.874210526,-0.342631579,-0.093684211,-0.208947368,0.006315789,0.243894737,0.141210526,-0.007473684,-0.009894737,-1.008947368,-0.473315789,-0.277578947,-0.041421053,-0.268421053,-0.525,0.068578947,0.221789474,-0.977915789,-0.666205263,0.790452632,-0.212121053,0.727805263,-0.1971,-1.532715789,0.771731579,-0.618036842,-1.161215789,0.903105263,-5.533684211,-0.885789474,0.162105263,0.421578947,0.826842105,0.418947368,-0.437894737,-0.37,-0.691052632,0.056315789,-0.585263158,-0.085789474,-0.063684211,-0.98,-0.158421053,0.602631579,-0.413157895,-0.031578947,-0.448947368,-1.022105263,-0.899473684,0.12,-0.264736842,0.736315789
potr.txt_8417,0.048165313,0.440328301,-0.362494652,0.209592876,0.433268488,0.3272,-0.2608,0.41,0.0352,0.4252,0.2208,0.1776,0.0872,0.136,-0.1584,-0.0772,-0.4124,0.4252,-0.22924,-0.39248,-0.6228,0.11576,-0.39128,0.16752,0.3328,-0.5116,0.0764,0.24,-0.0368,0.0072,0.4396,0.1184,-0.3832,0.4872,-0.4616,0.2148,-0.3016,0.09616,0.09696,-0.01444,0.01068,-0.09324,-1.1808,0.2876,-2.83342,-1.8026,-0.54778,-1.9416,-1.5232,0.9316,0.2576,0.5372,0.5976,-0.0256,0.364,0.21232,0.06304,-0.0652,0.06948,-1.06244,-0.06324,-0.13652,0.22052,-0.1634,-0.88484,0.29892,0.55624,-0.445004,-0.176232,-1.772132,-0.062028,0.576176,-0.216848,-2.32038,-0.811512,-0.749264,0.661772,1.366352,-5.9288,0.1736,-0.3164,0.38,1.1468,-0.3576,-0.4752,-0.5736,0.504,0.1596,0.1988,0.3212,-0.2476,-1.0172,0.3368,0.6352,-0.33,0.6612,-0.4208,1.3868,-1.014,0.2104,-0.072,-0.3552
