#name,AASI_lag0,AASI_lag1,AASI_lag2,eisenberg_lag0,eisenberg_lag1,eisenberg_lag2,Ez_lag0,Ez_lag1,Ez_lag2,Ez_lag3,Ez_lag4,Ez_lag5,Ez_lag6,Ez_lag7,Ez_lag8,flexibility_lag0,flexibility_lag1,flexibility_lag2,grantham_lag0,grantham_lag1,grantham_lag2,grantham_lag3,grantham_lag4,grantham_lag5,grantham_lag6,grantham_lag7,grantham_lag8,ISAECI_lag0,ISAECI_lag1,ISAECI_lag2,ISAECI_lag3,ISAECI_lag4,ISAECI_lag5,levitt_alpha_lag0,levitt_alpha_lag1,levitt_alpha_lag2,MSS_lag0,MSS_lag1,MSS_lag2,MSW_lag0,MSW_lag1,MSW_lag2,MSW_lag3,MSW_lag4,MSW_lag5,MSW_lag6,MSW_lag7,MSW_lag8,TM_tend_lag0,TM_tend_lag1,TM_tend_lag2,z3_lag0,z3_lag1,z3_lag2,z3_lag3,z3_lag4,z3_lag5,z3_lag6,z3_lag7,z3_lag8
potr.txt_11431,3.229775,2.896594737,2.918622222,0.89843,0.3614,0.052155556,0.67033,252.52713,42.58147,0.153768421,241.0473789,37.94957895,-0.1426,244.7047722,38.70268889,0.2818591,0.177995632,0.173355722,1.08481,51.17,8688.575,0.288168421,47.65315789,6962.131579,0.162438889,45.22111111,6405.055556,16686.16559,0.08625,13198.53632,0.050936842,13135.43025,0.048205556,1.205745,1.1308,1.102361111,408.9102712,394.7375999,397.0775874,0.511625,0.413605,0.29035,0.186163158,0.373389474,0.165789474,0.259827778,0.356261111,0.125288889,3.151235,0.625042105,-0.745794444,10.84189,1.810335,3.63978,3.160426316,0.159073684,-0.495736842,1.025433333,0.549305556,-0.794188889
potr.txt_4109,5.603788889,5.7135375,5.735228571,2.000266667,0.9091,-0.230857143,1.3002,132.0600222,18.2373,0.7111375,135.178425,14.59215,0.138271429,135.9634286,16.5655,0.462703778,0.319616375,0.241325429,0.258133333,97.47222222,10774.66667,0.2232,95.70625,8900.125,0.212542857,90.95,8248.142857,7092.402989,0.824722222,5947.365575,0.4356375,5611.802457,0.424214286,1.1491,1.0724875,0.978828571,367.6187379,309.8431366,316.4908221,0.399788889,0.178933333,0.545477778,0.0077125,0.046175,0.158175,0.006642857,0.099842857,-0.2526,4.635644444,2.5911375,0.953242857,5.694011111,6.648566667,5.105422222,3.4541375,-0.8013625,2.3798625,2.620171429,-0.646028571,-1.177957143
potr.txt_2515,4.858442105,4.701688889,4.5036,1.645205263,0.0369,-1.012352941,1.3834,186.8964368,35.98812105,0.267166667,181.3164944,29.08987222,-0.574770588,178.8978529,27.97279412,0.390484737,0.299271611,0.242053059,0.401521053,88.13684211,11738.68421,0.197738889,79.14,10510.77778,0.074070588,68.90882353,10734.70588,13722.40296,0.590757895,10670.42185,0.374272222,10023.99204,0.346047059,1.301031579,1.262016667,1.255405882,416.0200689,419.8376873,417.9380262,0.418405263,0.340563158,0.358178947,-0.042322222,0.153433333,0.004961111,0.076935294,0.031229412,-0.111611765,6.495057895,1.05765,-3.374717647,11.93032105,2.921468421,4.388294737,0.651277778,-0.641877778,1.380161111,-8.932305882,0.598494118,0.187288235
potr.txt_545,4.220570833,4.07946087,4.091790909,2.022604167,-0.063408696,-1.123972727,1.0829125,187.2754708,44.87116667,0.135786957,178.2823174,38.01469565,-0.413777273,176.8149727,34.72342727,0.448995458,0.327940217,0.333554273,0.545825,71.3725,9881.125,0.154513043,62.05826087,8002.869565,0.124977273,60.79772727,8052.954545,11698.40309,0.6046875,8796.040061,0.1432,9167.193364,0.070354545,1.2400375,1.198234783,1.193386364,332.8268876,295.0040474,295.0721577,0.355529167,0.239441667,0.362875,0.294273913,0.09716087,0.031891304,0.2641,0.084340909,-0.157936364,4.515254167,0.056091304,-2.52965,10.5650375,5.901795833,4.7360875,-1.793226087,-0.074730435,1.387795652,-4.789231818,-1.824359091,0.535781818
potr.txt_3529,3.82405,3.82162,3.822025,3.45305,0.16622,0.714025,1.5625,111.47905,36.8712,-0.1655,109.87822,34.96608,0.1225,110.145025,35.2836,0.459764,0.2080472,0.25,0.2197,69.705,22138,0.13858,61.902,21503.2,0.1521,63.2025,21609,17452.593,2.01125,12676.17528,1.89962,13472.2449,1.918225,0.95085,0.95058,0.950625,524.4800449,509.1257009,511.6847582,0.5242,0.51665,0.61045,0.07768,0.36542,-0.03782,0.1521,0.390625,0.070225,4.4729,-0.5701,0.2704,15.42845,9.83645,6.27805,-2.03662,9.45338,0.75682,0.874225,9.517225,1.677025
potr.txt_379,3.93515,3.634156522,3.582709091,0.980429167,0.351947826,-0.055427273,0.71505,208.7889958,40.60134167,0.162030435,196.777,33.1073913,-0.242877273,195.2059091,30.64147273,0.350648792,0.266643739,0.232804909,0.81915,59.83208333,7653.729167,0.098795652,57.11652174,5885.478261,0.06255,54.10954545,4872.818182,13686.97336,0.128641667,11011.81802,0.051304348,9934.876209,0.040995455,1.1490875,1.0457,1.049840909,363.4386983,323.0356426,314.729514,0.474475,0.366841667,0.275845833,0.226056522,0.233534783,0.125495652,0.209827273,0.192527273,0.131213636,3.196608333,0.755604348,-1.465504545,9.2020625,4.325975,3.4521,2.626821739,1.528830435,-0.54676087,-2.035677273,1.234659091,-0.922190909
potr.txt_9965,4.23265,4.0674,4.10725,2.121991667,0.924145455,0.02922,1.17625,134.3521667,25.63574167,0.582454545,130.8994727,24.83212727,0.06987,129.08286,23.43169,0.36514475,0.312978545,0.26975,1.441125,73.73666667,7985.333333,0.273,67.94818182,6918.454545,0.0793,67.696,6808.9,6828.643942,0.886058333,5472.422045,0.585590909,5187.25957,0.36096,1.3221,1.277890909,1.2892,359.1126306,348.2325732,348.097864,0.376066667,0.218566667,0.425916667,0.269363636,0.131018182,0.133890909,0.26429,0.18168,-0.0187,3.435758333,1.547081818,0.2796,5.293025,3.303541667,6.951883333,1.258645455,1.0924,1.197845455,-1.01058,0.26073,0.83168
potr.txt_3617,4.901116667,4.91266,4.67605,1.303666667,0.08376,-0.4135,0.61535,196.8445,57.40968333,-0.08884,199.26758,49.33126,-0.21895,193.5186,48.13045,0.382882,0.21985,0.3459965,0.354216667,55.61833333,9651.333333,0,45.454,7577.4,0,47.63,7776,14652.87553,0.121866667,11181.54248,0.06296,10135.47,0.041975,1.176016667,1.08574,1.04015,436.5938526,434.4068029,427.6949777,0.674383333,0.5634,0.320633333,0.669,0.53304,0.0894,0.657275,0.47115,0.19,4.01765,-0.2407,-1.469025,10.7951,2.793933333,2.356416667,0.35536,0.86304,0.99616,-3.8822,1.236775,0.583525
potr.txt_7189,3.853678947,3.672155556,3.571247059,0.760105263,0.26,0.115152941,0.307942105,208.1770105,44.92920526,0.024405556,189.1071556,39.03827778,-0.085811765,188.8206588,39.52332353,0.269289526,0.198013889,0.182414235,0.437189474,58.08894737,6568.118421,0.042855556,55.68111111,4477.111111,0,53.72058824,3729.882353,12981.65366,0.170126316,8454.853111,0.068416667,6885.745624,0.040464706,1.209273684,1.145783333,1.113888235,366.5434745,342.9835833,332.0894035,0.576252632,0.386326316,0.373442105,0.464311111,0.303755556,0.294055556,0.382652941,0.266111765,0.299188235,1.895142105,0.075116667,-0.461676471,9.313610526,2.497268421,0.789363158,0.526233333,1.6315,-0.151911111,-2.309105882,1.421435294,-0.1928
potr.txt_8417,5.018536,4.8431375,4.799121739,1.040084,-0.285204167,-0.099573913,0.865704,177.701188,32.812284,0.188083333,174.1824292,30.4618,0.135765217,173.0671435,30.93868261,0.54317672,0.426241333,0.386718609,1.791308,79.9732,6123.08,1.08215,72.37916667,3774.166667,0.944634783,73.43782609,4049.26087,5706.91364,0.432548,4164.563533,0.176066667,3918.167326,0.206647826,0.994728,0.906020833,0.938343478,334.9638896,261.7205728,288.1820911,0.3512,0.241548,0.511832,0.208520833,0.028375,-0.001895833,0.178821739,0.021226087,-0.012791304,3.1685,0.232625,0.499647826,5.235508,7.75386,5.669964,2.607933333,0.399633333,-1.428804167,1.924926087,0.262769565,-0.364608696
