#name,aliphatic_index,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_K,freq_L,freq_M,freq_N,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y,freq_S_p,freq_T_p,freq_Y_p,freq_C_m,freq_R_m,freq_R_d,freq_R_s,freq_K_a,aromaticity,average_number_rotatable_bonds,charge,charge_density,energy_based_on_logP,hydrophobic_aa_ratio,instability_index,isoelectric_point,length,n_C,n_H,n_N,n_O,n_S,n_P,molecular_weight,n_h_donors,n_h_acceptors,topological_polar_surface_area
pote.txt_11703,10.54054054,0,0,0.081081081,0.081081081,0.081081081,0.081081081,0.189189189,0,0.081081081,0.027027027,0,0.054054054,0.027027027,0,0.108108108,0.054054054,0,0,0,0.135135135,0,0,0,0,0,0,0,0,0.216216216,3.189189189,1.374082593,0.000288611,2.981081081,0.108108108,50.59216216,8.319122314,37,235,292,68,59,0,0,4761.02,107,146,3319.5
pote.txt_4689,0,0,0,0,0,0,0.181818182,0,0,0.363636364,0,0,0.181818182,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0.272727273,3.363636364,3.75610561,0.00262362,2.590909091,0,12.73636364,10.4777832,11,54,101,17,14,0,0,1431.65,31,39,933.1
pote.txt_8139,105.6,0.12,0,0,0,0.08,0.12,0.16,0.16,0.08,0.08,0,0,0.04,0,0.12,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.12,2.84,5.106770366,0.001741469,2.656,0.44,81.176,12.3074646,25,146,216,44,26,0,0,2932.45,63,84,1945.2
pote.txt_803,113.8888889,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0.388888889,0.277777778,0,0,0,0,0.055555556,0.055555556,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0.111111111,3.611111111,7.752099606,0.003584363,2.544444444,0.388888889,5.055555556,10.81562805,18,104,184,28,21,0,0,2162.755,47,64,1426.7
pote.txt_9839,166.4705882,0.117647059,0,0,0,0,0.235294118,0,0.058823529,0.117647059,0.294117647,0,0.058823529,0,0,0,0.058823529,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,2.411764706,1.758103612,0.001082589,2.517647059,0.529411765,-10.56470588,10.00268555,17,74,134,20,20,0,0,1623.98,38,55,1191.1
pote.txt_133,97.93103448,0.310344828,0,0,0,0,0.068965517,0,0.034482759,0.206896552,0.034482759,0,0.034482759,0,0,0,0.068965517,0.068965517,0.137931034,0.034482759,0,0,0,0,0,0,0,0,0,0.034482759,2.379310345,5.754107608,0.00202583,2.768965517,0.517241379,-0.065517241,10.6993103,29,123,224,36,35,0,0,2840.37,70,98,2131.4
pote.txt_4497,58,0,0.3,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2.9,2.729379643,0.002399613,3.01,0.5,10.54,9.220504761,10,43,80,18,12,3,0,1137.425,29,37,834.1
pote.txt_11441,68,0,0,0,0.3,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0,0.2,3.1,-2.234464003,-0.001758873,2.81,0.2,56.41,4.252593994,10,59,87,11,20,0,0,1270.395,27,40,819
pote.txt_359,26.21621622,0,0.162162162,0,0.054054054,0.027027027,0.027027027,0.027027027,0,0.108108108,0.027027027,0.027027027,0.081081081,0,0.027027027,0.081081081,0.135135135,0.108108108,0.054054054,0.027027027,0.027027027,0,0,0,0,0,0,0,0,0.081081081,2.972972973,4.788465781,0.001108449,2.883783784,0.297297297,59.45945946,9.125602722,37,174,286,56,56,7,0,4319.97,108,144,3165.2
pote.txt_4837,48.75,0.125,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0.25,3.625,3.75610561,0.003499472,2.4375,0.25,-5.4625,10.4777832,8,44,86,12,9,0,0,1073.335,22,28,642
pote.txt_4847,212.7272727,0.090909091,0,0,0,0,0,0,0.090909091,0,0.363636364,0.090909091,0,0,0,0.272727273,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,3.363636364,2.760071614,0.002038834,2.5,0.727272727,37.81818182,12.30105591,11,61,116,20,12,1,0,1353.75,28,37,915.7
pote.txt_9417,97.56756757,0.108108108,0.054054054,0.027027027,0,0.081081081,0.135135135,0,0.054054054,0.135135135,0.108108108,0,0.027027027,0,0.027027027,0.054054054,0.108108108,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0.081081081,2.675675676,5.73640539,0.001482046,2.672972973,0.486486486,21.98378378,10.20776367,37,173,290,50,46,2,0,3870.6,92,128,2807.8
pote.txt_12081,86.66666667,0,0,0,0,0,0,0.111111111,0,0.555555556,0.222222222,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222222222,4.842280797,0.004208995,2.7,0.222222222,43.12222222,10.60253906,9,56,99,17,11,0,0,1150.46,25,34,771.1
pote.txt_9371,62.85714286,0.071428571,0,0,0,0,0.142857143,0,0,0.071428571,0.142857143,0.071428571,0.071428571,0.071428571,0,0.071428571,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0.142857143,2.642857143,1.757094611,0.001108685,2.7,0.285714286,3.3,9.699768066,14,71,113,19,20,1,0,1584.845,36,50,1112.1
pote.txt_6249,136.6666667,0.066666667,0,0,0,0.066666667,0.133333333,0,0.066666667,0.2,0.266666667,0,0.066666667,0,0,0,0,0.066666667,0,0.066666667,0,0,0,0,0,0,0,0,0,0.133333333,2.933333333,2.757104611,0.001619835,2.333333333,0.466666667,0.58,10.30207825,15,78,137,19,18,0,0,1702.09,36,50,1106.3
