#name,PAAC_1,PAAC_2,PAAC_3,PAAC_4,PAAC_5,PAAC_6,PAAC_7,PAAC_8,PAAC_9,PAAC_10,PAAC_11,PAAC_12,PAAC_13,PAAC_14,PAAC_15,PAAC_16,PAAC_17,PAAC_18,PAAC_19,PAAC_20,PAAC_21,PAAC_22
pote.txt_11703,0,0,1.451,1.451,1.451,1.451,3.387,0,1.451,0.484,0,0.968,0.484,0,1.935,0.968,0,0,0,2.419,7.964,10.523
pote.txt_4689,0,0,0,0,0,3.272,0,0,6.545,0,0,3.272,0,0,0,0,0,0,4.909,0,8.28,10.108
pote.txt_8139,2.201,0,0,0,1.468,2.201,2.935,2.935,1.468,1.468,0,0,0.734,0,2.201,0,0,0,0.734,0,8.16,9.877
pote.txt_803,0.726,0,0,0,0.726,0.726,0,0,5.082,3.63,0,0,0,0,0.726,0.726,0,0,0,0.726,9.683,15.134
pote.txt_9839,2.497,0,0,0,0,4.994,0,1.249,2.497,6.243,0,1.249,0,0,0,1.249,0,1.249,0,0,7.869,7.603
pote.txt_133,5.661,0,0,0,0,1.258,0,0.629,3.774,0.629,0,0.629,0,0,0,1.258,1.258,2.516,0.629,0,8.714,9.426
pote.txt_4497,0,4.416,0,0,0,1.472,0,0,1.472,0,0,1.472,0,0,2.944,0,0,2.944,0,0,9.059,13.25
pote.txt_11441,0,0,0,5.371,0,0,0,1.79,1.79,0,0,0,1.79,0,0,0,1.79,1.79,0,3.58,8.123,10.364
pote.txt_359,0,3.346,0,1.115,0.558,0.558,0.558,0,2.23,0.558,0.558,1.673,0,0.558,1.673,2.788,2.23,1.115,0.558,0.558,8.732,7.224
pote.txt_4837,1.489,0,0,0,0,0,0,0,5.957,0,0,0,0,0,0,0,0,1.489,2.978,0,16.197,10.66
pote.txt_4847,0.925,0,0,0,0,0,0,0.925,0,3.7,0.925,0,0,0,2.775,0,0,0.925,0,0,16.367,14.136
pote.txt_9417,1.678,0.839,0.419,0,1.258,2.097,0,0.839,2.097,1.678,0,0.419,0,0.419,0.839,1.678,0,1.258,0,0,9.908,11.333
pote.txt_12081,0,0,0,0,0,0,2.103,0,10.516,4.206,0,0,0,2.103,0,0,0,0,0,0,9.644,7.824
pote.txt_9371,1.195,0,0,0,0,2.391,0,0,1.195,2.391,1.195,1.195,1.195,0,1.195,0,2.391,0,0,2.391,9.46,10.302
pote.txt_6249,1.112,0,0,0,1.112,2.224,0,1.112,3.337,4.449,0,1.112,0,0,0,0,1.112,0,1.112,0,8.916,10.904
pote.txt_3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.302,0,0,0,5.736,0,14.011,16.813
