#name,AASI_lag0,AASI_lag1,AASI_lag2,eisenberg_lag0,eisenberg_lag1,eisenberg_lag2,Ez_lag0,Ez_lag1,Ez_lag2,Ez_lag3,Ez_lag4,Ez_lag5,Ez_lag6,Ez_lag7,Ez_lag8,flexibility_lag0,flexibility_lag1,flexibility_lag2,grantham_lag0,grantham_lag1,grantham_lag2,grantham_lag3,grantham_lag4,grantham_lag5,grantham_lag6,grantham_lag7,grantham_lag8,ISAECI_lag0,ISAECI_lag1,ISAECI_lag2,ISAECI_lag3,ISAECI_lag4,ISAECI_lag5,levitt_alpha_lag0,levitt_alpha_lag1,levitt_alpha_lag2,MSS_lag0,MSS_lag1,MSS_lag2,MSW_lag0,MSW_lag1,MSW_lag2,MSW_lag3,MSW_lag4,MSW_lag5,MSW_lag6,MSW_lag7,MSW_lag8,TM_tend_lag0,TM_tend_lag1,TM_tend_lag2,z3_lag0,z3_lag1,z3_lag2,z3_lag3,z3_lag4,z3_lag5,z3_lag6,z3_lag7,z3_lag8
pote.txt_11703,6.05027027,5.700958333,5.50592,1.210756757,0.528488889,0.042057143,0.990205405,187.8740378,30.75716757,0.479458333,182.9664639,26.76171389,0.31444,181.70894,27.67641143,0.462941135,0.318944861,0.311711143,0.599713514,96.88621622,9848.385135,0.411302778,90.52388889,8268.777778,0.327505714,87.89257143,8144.671429,9097.874173,0.846272973,6802.450733,0.584305556,6183.916746,0.469105714,1.081140541,1.032602778,1.025288571,433.3296659,387.9021846,384.8009804,0.402689189,0.361232432,0.473716216,-0.058005556,0.061783333,0.228383333,-0.070888571,0.074205714,-0.00708,4.281754054,1.840297222,1.318431429,8.402756757,5.037054054,3.003613514,3.164727778,0.149222222,0.942752778,1.227774286,-0.423762857,-0.468434286
pote.txt_4689,5.264472727,5.28719,5.345055556,1.149627273,0.56466,0.4743,1.343118182,146.5229,29.44265455,0.85992,146.74035,25.33837,0.769,146.6698333,24.98637778,0.445466,0.40465,0.403282444,0.465390909,93.57818182,13603.09091,0.30282,93.565,9334.5,0.268366667,92.74,8310.888889,12737.00745,0.756618182,8883.89223,0.48461,7420.972567,0.443088889,1.021736364,0.92301,0.937766667,405.15377,306.3788851,275.6284606,0.388345455,0.285781818,0.372627273,0.20087,0.16,-0.04387,0.1724,0.09,0.089177778,5.475463636,3.48009,3.415844444,11.87568182,9.962190909,3.927009091,8.98795,-0.76846,0.20148,4.644222222,-1.9795,1.904566667
pote.txt_8139,4.790124,4.383845833,4.317286957,1.581796,0.727575,0.198104348,0.799452,186.405096,41.9848,0.3169125,176.4273917,34.118325,0.054204348,172.2789174,34.20196087,0.38767508,0.242622125,0.275157609,0.185708,70.4808,10118.17,0.104054167,66.13625,7544.666667,0.060986957,64.14,7171.630435,13173.99031,0.467072,10243.01892,0.339791667,9109.645187,0.242834783,1.134448,1.034679167,1.067669565,378.6118861,310.2077104,297.340006,0.4849,0.36452,0.404304,0.0213,0.1905,0.121120833,0.025421739,0.135908696,0.078873913,3.4799,0.961545833,-0.305917391,10.62442,6.447744,2.9083,1.8428,-0.700725,0.398641667,-2.320769565,1.247047826,0.530682609
pote.txt_803,4.268694444,4.105694118,4.161525,1.678044444,0.093411765,-0.819175,1.369461111,194.4575778,33.67127222,0.251752941,184.3856882,26.08631765,-0.31250625,175.2302625,20.059625,0.385156722,0.292160941,0.3058845,0.210488889,78.93666667,11890.11111,0.063282353,70.24,11575.35294,0.0770875,70.024375,11305.5,14109.02617,0.318161111,12206.63165,0.178717647,11966.07067,0.1250875,1.348627778,1.316935294,1.3079125,359.3843189,361.1914048,358.3451217,0.410811111,0.242127778,0.318672222,0.148058824,0.118870588,0.032847059,0.12735,0.080375,-0.100675,6.199444444,0.662364706,-2.02316875,10.41622222,3.723522222,4.793244444,-2.128588235,0.873929412,2.843870588,-5.97173125,-1.1585125,2.20729375
pote.txt_9839,4.747111765,4.54891875,4.75496,0.944188235,-0.08565,-0.12696,0.5332,201.0249118,45.96646471,-0.152625,191.0762,38.5080125,-0.174033333,183.5346933,37.27952,0.432345647,0.324335938,0.340383333,0.364323529,65.39411765,6789.529412,0.0809375,58.740625,4231.9375,0.1184,61.51733333,4250.733333,11033.55725,0.164388235,7028.581194,0.0264375,6563.892587,0.0294,1.135870588,1.037725,1.034933333,279.9596947,208.5961668,215.5795597,0.4233,0.277852941,0.335370588,0.32740625,0.05941875,0.12543125,0.342833333,0.104186667,0.139886667,2.932717647,-0.8019125,-0.89246,9.704282353,8.480447059,1.685464706,-2.58671875,2.2080875,0.29670625,-1.924806667,3.515566667,0.227526667
pote.txt_133,4.657451724,4.524160714,4.590255556,0.92292069,-0.210057143,-0.33737037,0.704562069,143.237169,28.17168621,-0.134014286,139.8286107,23.27996071,-0.161077778,139.1230556,24.54109259,0.321393724,0.244870036,0.240851333,0.295703448,75.51172414,6483.62069,0.090878571,71.36321429,4392.178571,0.067562963,71.38777778,4572.222222,8442.842645,0.214986207,6473.939043,0.107864286,6134.379574,0.060451852,1.2105,1.172853571,1.181103704,316.6171193,292.0210825,284.1581826,0.513689655,0.256844828,0.428241379,0.343714286,0.133942857,0.0598,0.358851852,0.094525926,0.132077778,3.263896552,-0.609910714,-0.843196296,5.755327586,5.354682759,2.554693103,-0.557664286,0.123453571,0.277467857,-2.582948148,0.390644444,0.569381481
pote.txt_4497,4.52649,4.536188889,4.60945,1.82611,-0.009844444,-0.4652125,1.15021,147.32246,27.28918,0.310833333,145.5399,25.83674444,0.31745,142.1740375,24.3086875,0.4192723,0.331612667,0.330767375,2.59579,72.412,7124.5,0.765322222,67.28888889,5495.222222,1.5381125,65.81375,5564.25,6468.60315,0.79204,5384.380767,0.1712,6050.417338,0.1492375,0.98322,0.9269,0.9231125,413.4378098,363.1164256,339.1152017,0.37794,0.17216,0.42496,0.275522222,0.099433333,0.049222222,0.314025,0.11325,-0.216525,3.23751,0.672022222,0.0424125,5.59802,6.11455,8.88213,1.394122222,-1.626733333,-1.352433333,1.4435875,-1.413625,1.321425
pote.txt_11441,5.7156,4.6549,4.69005,0.72149,0.016088889,-0.28405,0.94019,196.20679,32.06028,0.137411111,189.6378778,25.42072222,-0.2110875,196.4171,24.45755,0.4773959,0.426697556,0.43734375,0.33843,85.825,9597.425,0.189733333,77.20222222,8689.277778,0.1298875,73.12125,7282.6875,10378.3485,0.69271,8028.587611,0.412877778,6163.913263,0.35135,1.14823,0.966177778,0.95735,453.7588913,450.570602,446.6569068,0.46641,0.39023,0.1967,-0.209111111,0.058377778,0.055511111,0.0453375,-0.02625,0.018525,4.58703,0.721522222,-1.084825,6.96735,2.7575,1.95324,-0.057355556,-0.856166667,-0.2979,-4.055825,0.6116625,0.77865
pote.txt_359,4.971151351,4.713283333,4.782914286,1.044951351,-0.062533333,0.08072,0.917486486,177.2134757,30.42134054,0.347313889,171.4367194,27.95179167,0.269857143,168.8259857,27.05516571,0.410331162,0.303002694,0.295240514,1.835378378,80.22918919,7644.324324,0.731341667,72.46555556,5751.944444,1.198031429,73.102,6544.228571,7325.654003,0.700967568,4610.659375,0.349805556,4752.161189,0.393637143,1.091978378,1.048408333,1.048491429,441.8945599,430.0757962,422.9476443,0.404502703,0.33072973,0.453502703,0.067744444,0.21145,0.108830556,0.123417143,0.169554286,0.145768571,3.142721622,0.64995,0.340257143,6.359583784,3.686113514,5.320951351,-0.024963889,-0.945369444,-1.734680556,0.455902857,0.59722,0.151514286
pote.txt_4837,4.747825,4.649371429,4.78935,1.488325,-0.990557143,0.607166667,1.59655,124.8055375,20.957775,-0.660385714,124.8387,17.4616,0.5375,125.6586167,16.30435,0.276463625,0.135176571,0.19525,0.058675,83.6875,15307.625,0.014671429,66.8,13818.57143,0.0506,76.17833333,14277.66667,15628.39536,0.432975,15244.34554,0.348342857,14537.17683,0.297616667,1.313,1.261071429,1.256,428.0692634,424.6640985,423.16466,0.5716625,0.3263125,0.325325,0.249228571,0.182228571,-0.254728571,-0.1283,0.183633333,0.131366667,6.855525,-2.997071429,2.6907,10.57855,5.4989,5.31945,-2.757014286,1.657471429,0.417214286,0.290066667,1.5686,2.194766667
