#name,PAAC_1,PAAC_2,PAAC_3,PAAC_4,PAAC_5,PAAC_6,PAAC_7,PAAC_8,PAAC_9,PAAC_10,PAAC_11,PAAC_12,PAAC_13,PAAC_14,PAAC_15,PAAC_16,PAAC_17,PAAC_18,PAAC_19,PAAC_20,PAAC_21,PAAC_22
netr.txt_42607,1.815,0,0,0,0.605,0,0,1.815,1.21,4.839,0.605,0,0.605,0,1.815,3.63,2.42,0.605,0.605,0,7.454,8.555
netr.txt_112561,1.942,0.486,0.971,0.971,0,2.913,0,2.428,0.486,2.913,0.971,0.486,0,1.457,1.457,0.971,1.942,0.486,0,0,7.607,8.147
netr.txt_25083,1.407,1.876,0,0.938,0.469,0,1.876,0.469,0.938,1.876,0.469,0.938,1.876,0.938,2.813,0.938,1.876,0.938,0.469,0,7.257,8.316
netr.txt_41385,2.404,0,0,0,2.404,1.603,0,3.205,1.603,3.205,1.603,1.603,0,0,0.801,0.801,0.801,0,2.404,0.801,6.606,7.384
netr.txt_37413,2.012,0,1.006,0.503,0.503,2.516,2.012,0.503,1.006,3.019,0,1.006,1.006,0,1.006,4.528,2.516,0.503,0,0.503,6.994,6.392
netr.txt_76781,1.108,0.554,1.108,2.215,0.554,0,0.554,1.108,2.769,1.661,0.554,0.554,0,0,0.554,0.554,0.554,3.323,0,0.554,7.313,10.794
netr.txt_116819,2.009,0,0,0,2.678,2.009,1.339,2.678,0,4.687,2.678,2.009,1.339,2.009,0.669,1.339,0.669,3.348,0,0.669,5.11,5.079
netr.txt_120939,0,0.552,0.552,1.104,1.656,1.656,1.104,2.208,2.208,0,1.104,1.656,2.208,2.208,1.104,0,2.208,0.552,0,1.104,8.894,5.137
netr.txt_118569,0,0,2.991,2.136,0,0.427,0.427,3.418,4.273,0.427,0,0.427,0.427,0,0,2.136,1.282,1.282,0,0,7.613,9.185
netr.txt_78319,1.117,2.234,0.559,1.117,3.91,0.559,0.559,0.559,1.676,4.468,2.234,0,1.117,0.559,0.559,0.559,0.559,1.676,1.117,0.559,6.83,5.612
netr.txt_105097,0.656,0.656,0.656,0.656,3.937,1.312,0,5.249,0.656,4.593,1.969,0.656,0,0.656,1.312,0,0.656,2.625,0,0.656,5.828,5.938
netr.txt_101679,1.291,1.291,0,0,1.291,1.291,2.581,0,1.291,1.291,1.291,1.291,1.291,0,3.872,0,0,1.291,0,0,7.746,9.318
netr.txt_84433,0.966,0,3.381,0.966,1.449,0.483,0,0.483,5.796,1.932,0.966,2.415,0,0.483,1.449,0.483,0.966,0,0,0,6.959,7.757
netr.txt_109493,2.846,0,0,0.948,0.948,2.846,0.948,1.897,0.948,6.64,1.897,0,0.948,0,0,1.897,0.948,2.846,0.948,0.948,5.097,5.872
netr.txt_69641,0,0,0.679,2.037,0.679,1.358,0,1.358,0.679,2.037,0.679,2.716,0,0.679,0.679,2.037,2.716,2.037,0.679,0.679,7.175,7.91
netr.txt_70083,0.987,0.494,0.987,0.987,0.987,2.962,0,1.481,1.481,1.975,0.494,0,1.975,0,0.987,0,0.987,0.987,0,0,9.167,9.456
netr.txt_25059,1.413,0,0,1.413,3.533,0.706,0,2.119,2.826,2.826,1.413,0.706,2.119,0,0.706,0.706,1.413,2.119,0,0.706,6.128,6.893
netr.txt_63409,1.307,1.307,0,1.307,0.871,0,0.871,0.436,2.614,1.307,0.436,2.178,1.307,0.436,1.307,0.436,1.307,0.436,0.436,1.307,7.334,9.509
netr.txt_70331,0.596,0,1.192,0,1.787,1.787,0.596,1.787,0,1.192,1.192,0.596,1.192,0.596,0,1.787,0.596,2.979,1.787,1.192,7.635,8.136
netr.txt_16995,0.419,0,0,0,0.837,1.674,0.419,1.256,1.674,1.256,1.674,0.419,0.419,0.419,1.674,1.256,2.093,1.674,0.419,0,9.392,9.436
netr.txt_85987,1.583,0,0.396,0.396,0.396,1.187,1.187,0.396,1.583,2.374,0.396,0.396,0.396,0.396,1.187,0.396,0.396,1.979,0.396,1.979,9.565,9.44
netr.txt_101111,0.444,0,0.444,0.887,1.331,0,1.331,1.774,1.331,3.105,0.444,0,0.444,1.774,1.774,2.662,2.218,1.331,0,0,8.001,7.418
netr.txt_56259,1.917,0,1.917,1.534,0.767,2.301,0,0.383,0.767,1.917,1.15,0.383,0.767,0.383,1.534,1.15,0.383,0.383,0.383,0,9.649,8.715
netr.txt_96055,0.815,0,0.408,2.446,1.223,0.408,0,0.815,2.446,2.446,0.815,1.63,0.815,1.223,0.408,0.815,0,0.815,0,2.038,9.667,7.211
netr.txt_98897,2.165,0,1.443,0,0.722,2.887,1.443,2.165,0,0,0.722,0,2.165,0,2.165,0.722,0,1.443,0,0,8.59,9.754
netr.txt_22771,1.928,0,0.386,3.084,1.928,0,0.386,0.771,1.928,1.928,1.542,0,0,1.157,0.771,1.157,0,0.386,0,0.386,9.419,9.244
netr.txt_59023,0,0,0,0,2.771,2.771,0,0,0,2.771,0,0,1.385,0,1.385,1.385,0,2.771,1.385,0,10.527,9.361
netr.txt_26613,1.969,0,1.969,0.492,0.984,0.492,0.492,0.984,0.492,2.953,1.969,1.477,0,0.492,0.984,0.492,3.938,0.492,0.492,0.492,7.324,7.812
netr.txt_74889,2.84,0,0,5.206,0,0.473,0,0.473,0.473,0.947,0.473,0,0.947,1.42,1.893,0.947,0.947,1.893,0,0.473,7.875,9.148
netr.txt_13049,1.045,2.439,0,0.697,0.348,1.742,0.697,0.348,0.348,1.045,1.045,0.348,0.697,0.348,2.091,1.394,0.697,0.697,0.348,0.348,9.595,10.177
netr.txt_114159,0.794,0,0.794,0.397,0.794,0.794,0.397,1.191,1.191,0.794,0.397,0.794,1.191,0.397,1.984,0.397,2.381,0.794,0,0.794,11.695,8.611
netr.txt_90081,1.458,0.729,1.458,1.458,0.729,2.186,0,1.458,1.458,2.915,2.186,0,2.915,1.458,0,5.83,2.186,2.186,0,0,5.496,4.483
netr.txt_90173,0,0,0,0,2.632,0,5.263,0,2.632,5.263,2.632,2.632,0,0,0,0,2.632,2.632,0,0,7.033,5.055
netr.txt_110239,3.522,0.704,0.352,0.704,0.352,1.761,0,0.352,0.352,0,1.057,0.352,1.409,0.352,3.17,0.352,0.704,0,0,0,10.255,11.014
netr.txt_108625,1.922,0,0,0.64,0.64,0,0.64,1.922,0,1.922,1.281,3.203,0.64,0.64,2.562,3.843,1.281,0,0,0,7.141,8.403
netr.txt_106769,0.468,0,0.936,2.339,0,0,0.936,2.339,1.403,2.807,1.871,0.468,0,0.936,0.936,0.936,0.936,0.468,0.468,0.468,9.323,8.352
netr.txt_42783,0.409,0.409,0,2.045,0.409,0.409,0.818,2.045,0.409,2.863,0.818,0.409,0,1.636,1.227,1.636,2.045,1.227,0.409,0.818,8.338,8.12
netr.txt_12377,0.547,0,1.093,2.186,0.547,0,1.093,1.64,1.64,3.28,1.64,0.547,1.64,1.093,0,1.64,0.547,1.64,0,0.547,7.529,7.872
netr.txt_1319,2.012,0,1.509,1.006,0,1.509,0,1.509,1.509,1.509,0.503,2.012,3.522,1.006,0.503,0.503,2.012,3.522,0,0,5.955,7.431
netr.txt_72697,0,0,0.666,1.332,3.997,1.998,0,1.332,0.666,3.331,0.666,1.332,1.332,0,1.332,1.332,1.332,2.665,0,0.666,6.678,6.817
netr.txt_2417,0.788,0,4.336,0.788,1.577,1.971,0,0.394,0.788,2.365,1.183,0.788,0,0.788,0.394,1.183,0.788,0.394,0.394,0,8.244,9.23
netr.txt_30177,3.692,0,0,0,0,5.077,0,0,0,0,0,0,0.462,0.923,2.769,0,0,1.385,0,0,12.148,10.748
netr.txt_77615,2.158,1.438,2.158,2.158,0,0.719,0,1.438,2.158,2.877,0.719,0,1.438,2.158,0,3.596,2.158,1.438,0,0,5.663,6.262
netr.txt_48455,0.597,0,0.597,0.597,1.194,0,1.792,1.792,3.583,2.389,0.597,1.194,0,1.792,1.194,1.194,1.194,0,0,0.597,7.69,8.54
netr.txt_99423,0,0.98,0,0.98,0.98,2.94,1.96,0.98,1.96,2.94,0,0,0.98,1.96,0.98,0,2.94,0,0,0.98,8.737,6.474
netr.txt_57307,0,0,3.319,3.319,0,0.553,0,1.106,0.553,1.66,0.553,0.553,0.553,0.553,0.553,3.872,1.106,1.106,0.553,1.66,6.729,8.471
netr.txt_23411,3.228,0,0,0.807,0.807,3.228,0,1.614,1.614,7.263,1.614,0,0.807,0,0.807,0.807,4.842,0.807,0.807,0,5.533,5.149
netr.txt_55947,0.663,1.989,0.663,0.663,0,0.663,0.663,1.989,2.652,4.641,0.663,2.652,4.641,3.315,0,0,1.326,1.326,0,1.326,4.466,5.856
netr.txt_72227,0.308,0,0.616,0,1.231,0.308,0.308,1.847,1.847,1.231,0.308,0.616,0.616,0.308,1.847,1.539,0.924,0.308,0,1.231,9.832,11.573
netr.txt_4327,2.865,1.433,0,2.149,1.433,0,0,2.149,2.149,2.149,0.716,2.865,0.716,0.716,0,2.149,1.433,0,0,1.433,8.011,5.244
netr.txt_29121,3.035,0,0.759,0,0.759,2.277,0,3.794,0,4.553,0.759,0,0,1.518,0.759,3.035,1.518,0.759,0,0.759,6.29,7.01
netr.txt_108467,1.29,0,1.29,0.645,1.936,2.581,0,2.581,0,5.162,0.645,0,0.645,1.29,1.29,0,1.29,1.936,0,1.29,7.23,6.336
netr.txt_95367,0.651,0,0.977,1.628,0.651,0.326,0,0.977,2.279,2.279,0.651,0.651,0.326,0,1.302,0.326,0.977,0.977,0,1.302,10.884,9.413
netr.txt_45385,4.036,0,0,1.009,0.336,1.345,0,0,0,0,0.336,0,1.009,0.336,3.027,1.682,0,0.336,0,0,11.337,12.857
netr.txt_52161,0.867,0,2.167,0.433,1.734,1.3,0,0.433,0.433,0,0,0.867,1.734,0.867,1.734,1.3,0.433,1.3,0.433,1.3,9.851,9.236
netr.txt_56337,0,0,0.666,1.332,3.997,1.998,0,1.332,0.666,3.331,0.666,1.332,1.332,0,1.332,1.332,1.332,2.665,0,0.666,6.678,6.817
netr.txt_52787,0.97,0,1.941,0.485,0.485,0,0.97,3.882,2.426,2.426,0.97,0,0.97,1.456,0.97,0.485,0,1.456,0,0.97,9.034,6.73
netr.txt_66187,0,0.615,0,0.615,3.077,0,1.846,1.846,2.461,4.922,0,3.077,0.615,0,0.615,1.846,2.461,0.615,0,0,6.47,6.622
netr.txt_20169,1.465,0,1.465,0,0,0,0,1.465,4.394,2.929,1.465,1.465,1.465,1.465,0,1.465,1.465,1.465,0,0,7.378,7.523
netr.txt_59125,0.749,0,1.498,2.622,0.375,0,0.749,1.498,0,0.749,1.498,0.749,0,1.124,2.248,0.375,1.498,0.375,0,1.498,8.551,10.248
netr.txt_44335,0,2.413,0,2.895,0.965,2.895,0,0.483,4.343,0,0.483,0.965,0.483,0.965,0.483,1.448,0,1.93,0.483,0,7.794,7.675
netr.txt_86779,1.224,0.612,0,1.224,0.612,0,0,1.224,2.448,3.06,0.612,0.612,1.836,1.836,1.836,3.06,2.448,1.224,0.612,0.612,5.529,7.268
netr.txt_18945,2.827,0,0.565,2.827,1.696,0,1.131,0.565,0,0.565,0.565,1.131,1.131,0,2.827,0.565,1.696,1.131,0,1.131,6.982,9.207
netr.txt_12791,0.98,0,0.49,0.49,2.45,5.389,0,1.96,0.98,1.47,0,0,0.49,0,0.49,1.96,0.49,1.47,0,0.49,8.095,8.756
netr.txt_9969,1.683,0,0.673,0.673,0.673,1.683,0,0.673,0,1.683,0.337,0.337,0.673,0.337,2.02,1.01,1.683,0.673,0.337,0.673,10.653,10.202
netr.txt_41095,0.653,0,1.961,0,0.653,1.961,0,0,0,5.228,0.653,1.961,1.307,1.961,2.614,0,0,1.961,0,0.653,7.364,7.843
netr.txt_108525,3.369,2.695,0,0,0.674,0.674,0.674,0.674,0.674,2.695,0.674,1.348,0,2.695,1.348,3.369,1.348,0,0.674,0.674,5.955,7.364
netr.txt_98507,1.402,0,0.467,1.402,0.934,0.934,0.467,1.869,2.336,1.402,0,1.869,0.934,0.934,0.467,0.934,1.869,1.402,0,1.402,7.825,7.808
netr.txt_81935,0.921,2.764,1.843,4.146,0.921,0.461,0.921,1.382,1.382,1.382,0.461,1.382,0.921,0.461,0.461,0.921,0,0.921,0,0.461,7.157,7.635
netr.txt_100685,5.135,0,0,0,0.733,4.401,0,1.467,0.733,11.004,0.733,0,0.733,1.467,0.733,2.934,1.467,2.934,0.733,0,4.259,3.956
netr.txt_80421,0.898,0,0.898,2.695,1.347,1.347,0,0.449,1.347,1.796,0,0.898,4.042,1.347,0.898,1.347,2.246,0,0,0.449,7.015,7.857
netr.txt_10759,0.52,0.52,1.039,1.039,1.559,1.559,1.559,1.039,1.039,2.079,1.039,1.559,1.039,2.079,0.52,2.079,0.52,1.559,0,1.039,7.281,6.609
netr.txt_67475,1.366,0,0.911,1.366,2.277,1.366,0,1.822,0.455,1.822,1.822,0.911,0.911,0.455,1.822,0,0.911,1.822,0.911,0.455,6.998,8.335
netr.txt_149,2.686,0.448,0.448,0.895,1.343,0.895,0.448,1.343,2.238,0.448,1.343,1.791,0.448,0.895,1.343,0.448,1.343,0.448,0,0.448,8.607,8.153
netr.txt_89757,2.165,0,1.443,0,0.722,2.887,1.443,2.165,0,0,0.722,0,2.165,0,2.165,0.722,0,1.443,0,0,8.59,9.754
netr.txt_9055,1.18,0,0,0,1.18,4.718,0.59,4.718,0,7.667,1.18,0.59,1.769,0,0.59,1.18,0,1.769,1.18,1.18,6.222,4.257
netr.txt_58635,1.344,0,0,1.793,0.448,0.896,0,1.793,0.896,2.689,1.344,0.448,0.448,0.896,2.241,2.689,1.344,0.896,0,0.448,8.176,7.794
netr.txt_20683,1.233,0,0.411,0.822,1.644,0.411,0,2.055,2.465,1.644,0.822,0.822,0,0,0.822,2.465,1.644,0,0,0.822,8.729,9.575
netr.txt_90779,2.123,1.592,0.531,0,1.062,1.062,1.062,0.531,0.531,2.654,3.185,1.062,0.531,0,1.592,0.531,1.592,0.531,0,1.062,7.21,8.259
netr.txt_63923,0.422,0.422,1.267,0.422,1.267,0,0.844,0.422,1.267,3.378,0.844,0.422,0.422,0.844,1.689,0.844,0.844,2.533,0,1.267,8.32,8.689
netr.txt_71355,7.092,0,0.591,1.182,0.591,2.364,3.546,1.182,0.591,2.955,0.591,0.591,1.182,0,0.591,3.546,0.591,1.773,0,0,5.231,5.495
netr.txt_105087,2.379,1.189,1.189,0,0,0.595,1.189,1.784,1.189,1.189,2.379,0.595,1.189,0.595,1.189,1.784,2.379,0.595,0.595,0,6.576,8.3
netr.txt_3685,0,0,0,0,0,2.751,0,2.751,0,0,2.751,2.751,5.501,0,2.751,5.501,5.501,0,0,0,7.679,2.453
netr.txt_62899,5.065,0.633,0,0.633,2.532,1.899,0,1.266,0,1.266,1.266,0.633,0.633,1.899,1.899,0,0,1.899,0.633,0,6.892,7.868
netr.txt_47207,1.592,0,0,0,2.387,1.592,0,3.979,0.796,4.774,0.796,0,0.796,0,0.796,2.387,3.183,0.796,0,0.796,6.912,6.147
netr.txt_28439,1.709,0,0,0.855,0,0.855,0.855,0,3.419,5.128,0,0,1.709,1.709,0.855,0,0.855,0,0,0.855,10.841,6.746
netr.txt_92915,1.039,0,1.559,1.039,0.52,0.52,0,1.559,1.559,1.559,2.079,1.039,1.559,0.52,1.039,1.559,2.598,2.598,0,0,6.984,7.637
netr.txt_72595,0,0.546,2.728,1.637,0,0.546,0,1.091,0.546,3.274,1.091,0,0.546,0,4.365,0,2.728,0.546,0,0,7.57,9.238
netr.txt_13653,0,0,1.852,1.852,0,0.617,1.852,0,1.852,4.94,0.617,1.235,0,1.852,1.235,6.792,0.617,0,0,0,7.983,4.681
netr.txt_50251,0.666,0,0,1.331,0.666,0.666,1.331,1.997,0,1.997,0.666,0.666,0,0.666,3.993,0,1.331,0,0,0.666,8.109,11.763
netr.txt_53601,2.049,1.025,0,3.073,0,0,1.025,0,2.049,4.098,2.049,1.025,0,2.049,1.025,2.049,1.025,1.025,0,0,7.506,6.265
netr.txt_27053,2.479,0,0.827,2.479,0.827,0.827,0,2.479,1.653,3.306,3.306,3.306,0.827,0.827,0.827,0,0,0.827,0,0.827,6.402,6.082
netr.txt_70869,3.532,0,0.883,0,2.649,2.649,0,1.766,0.883,5.298,0.883,2.649,0,0.883,0,1.766,3.532,0.883,0,0.883,5.42,5.223
netr.txt_47685,2.377,0.594,1.782,4.159,0,0,0,1.782,1.188,2.377,0.594,0.594,0.594,2.377,1.188,0,0.594,0,0,1.188,7.814,7.53
