#name,PAAC_1,PAAC_2,PAAC_3,PAAC_4,PAAC_5,PAAC_6,PAAC_7,PAAC_8,PAAC_9,PAAC_10,PAAC_11,PAAC_12,PAAC_13,PAAC_14,PAAC_15,PAAC_16,PAAC_17,PAAC_18,PAAC_19,PAAC_20,PAAC_21,PAAC_22
potr.txt_11431,1.408,2.816,0,0,4.224,0,0,0,2.816,8.448,0,0,2.816,0,0,4.224,0,1.408,0,0,4.831,6.284
potr.txt_4109,1.575,0,0,0,0,1.575,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,1.575,9.471,13.62
potr.txt_2515,0.663,0,0.663,0.663,1.326,0,0,0.663,3.979,1.326,0,0.663,0,0,0.663,0.663,0,0.663,0.663,0,10.105,15.509
potr.txt_545,1.01,0.505,0,0,0,1.516,0,1.01,2.021,3.536,0,0.505,0,0,2.021,0,0,0,0,0,10.611,15.854
potr.txt_3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019,0,0,0,5.019,0,16.813,14.011
potr.txt_379,4.093,2.046,0,0,3.07,2.046,0,3.07,3.07,2.046,0,0,2.046,1.023,0,1.023,0,1.023,0,0,5.03,8.097
potr.txt_9965,4.426,2.95,0,0,0,0,0,0,1.475,1.475,0,0,0,1.475,4.426,0,0,1.475,0,0,7.508,11.187
potr.txt_3617,0,0,0,0,0,0,0,7.265,3.633,0,3.633,0,0,0,0,3.633,0,3.633,0,0,6.577,8.454
potr.txt_7189,9.224,0,0,0,3.689,0,1.845,3.689,0,5.534,0,1.845,1.845,0,0,5.534,0,1.845,0,0,3.486,4.784
potr.txt_8417,0.7,2.8,0.7,0,0,3.5,0,0,2.8,0.7,0.7,0,0,0,1.4,2.8,0.7,0,0,0.7,9.921,8.992
potr.txt_10775,0,5.663,0,0.944,0.944,2.831,0,3.775,1.888,0.944,0,0.944,1.888,0,0,3.775,1.888,2.831,0,0.944,5.539,5.047
potr.txt_151,0,3.423,0,0.57,1.141,1.711,0,0.57,0,1.711,0,0.57,0,0,2.852,1.141,1.711,2.852,0,0.57,9.414,8.153
potr.txt_10261,1.658,0,0,4.144,1.658,0.829,0,0.829,0,3.315,0,0,0.829,0.829,1.658,2.486,0.829,0,0,0,8.427,8.915
potr.txt_9601,0,1.818,0,0,0,0,0,0,0,0,0,0,0,1.818,3.635,0,0,0,3.635,0,8.602,20.274
potr.txt_427,0,0,0,0,0,14.431,4.618,0,0,0,0,1.154,0,0,0,0,0,0,0,1.732,6.555,8.371
potr.txt_3877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.526,0,0,0,6.314,0,17.847,16.063
potr.txt_1953,2.276,0,0,0,2.276,3.414,0,3.414,2.276,2.276,1.138,1.138,1.138,0,0,2.276,0,1.138,0,0,6.036,8.289
potr.txt_11631,3.08,0,0.44,0.44,0,2.2,0,1.76,2.2,0.88,0,0.88,0,1.76,0.88,0,1.32,1.32,0.44,0,8.635,10.166
potr.txt_10197,1.478,0,0,0,1.478,0,0,2.217,3.694,2.955,0,0,1.478,0,0.739,2.217,0,0,0,0,10.198,10.127
potr.txt_3569,0,0,25.035,0,0,0,0,0,6.259,0,0,0,0,0,0,0,0,6.259,0,0,3.317,4.146
potr.txt_11509,3.907,0,0,0,0,1.674,0,2.791,4.465,0.558,2.232,0.558,1.116,0,0,0.558,0,2.232,0,0,8.325,8.087
potr.txt_9351,0.815,0,0.815,0.815,0,2.446,0,0.815,1.631,1.631,0,0,2.446,1.631,1.631,0.815,0,2.446,0,0.815,10.246,7.388
potr.txt_6507,1.232,1.232,1.232,0,1.232,2.465,0,0,4.929,1.232,0,0,0,1.232,1.232,1.232,1.232,1.232,0,0,9.2,7.543
potr.txt_10387,1.893,0,0,0,1.893,0,0,0,0,0,0,0,0,0,3.786,0,0,0,0,0,14.296,23.507
potr.txt_8223,1.896,0,0.632,0,1.896,3.16,1.896,2.528,1.896,0,0,0.632,0,0.632,0,0.632,0,0,0.632,0,9.778,10.334
potr.txt_7077,0.895,0,0,0,0.448,0.895,0,0,0,1.343,0,0,0,0,3.581,0,0,0.448,0.448,0,15.057,21.167
potr.txt_761,0,1.972,0.986,0.986,0.986,0.986,0.986,0,0.986,0.986,0,1.972,0.986,0,2.958,2.958,0.986,0,0,0,8.877,8.774
potr.txt_9847,2.371,0,0.79,0.79,0,3.161,0,2.371,2.371,1.581,0,0,0,0.79,0,2.371,0,0.79,0.79,0,8.621,9.586
potr.txt_8399,2.62,0.524,0.524,0,1.048,1.572,0,0.524,0.524,1.048,0,1.048,0.524,0,2.096,0.524,0.524,0,0.524,0.524,11.911,11.219
potr.txt_11911,0,0,0,0,0,0,0,0,5.437,7.611,0,0,0,0,0,0,0,0,0,0,9.379,15.473
potr.txt_825,3.367,0,0,0,0,0,0,2.525,3.367,3.367,0,0,0,0,0.842,0,0,1.683,0,0,9.867,11.855
potr.txt_11389,1.337,3.567,1.783,0,0.446,2.229,0.446,0.892,1.783,1.337,0,1.337,0.892,0,0.892,2.229,0.892,0.892,0,1.337,7.296,7.365
potr.txt_6585,4.331,2.165,0,0,2.165,0,0,2.165,3.248,1.083,0,1.083,1.083,0,1.083,0,0,0,0,0,10.922,7.054
potr.txt_3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,0,3.64,9.616,19.229
potr.txt_3973,0,0,0,7.229,0,0,0,3.615,0,0,0,0,0,0,0,0,0,3.615,0,3.615,10.611,7.699
potr.txt_621,0,0,0.76,0.76,0.76,0.76,3.039,0,1.519,0.76,0,1.519,0,0,2.279,1.519,0,0,0,2.279,9.315,11.377
potr.txt_2691,1.209,0,0,0,1.209,1.209,0,0,3.627,6.045,0,1.209,0,0,0,1.209,1.209,1.209,0,0,7.799,10.448
potr.txt_4789,0,0,0,0,0,0,0,0,5.751,1.438,0,0,2.876,0,0,0,0,2.876,0,2.876,11.835,9.029
potr.txt_1007,1.33,0,1.33,0,0.665,0,0.665,0.665,1.995,1.995,0.665,1.995,0,0.665,1.33,1.33,1.33,1.33,0,1.33,7.989,9.774
potr.txt_10947,0,6.651,0,1.108,1.108,3.326,0,2.217,2.217,1.108,0,3.326,2.217,0,0,2.217,2.217,4.434,0,1.108,4.509,4.404
potr.txt_773,0.546,0,0,0.546,0,1.093,0,0,3.825,2.186,1.093,0.546,0,0,1.639,1.093,0,0,1.093,0,10.788,13.08
